1;Oszkár;2020-9-19 2:12:5;1;0;1;0;kan;17;50;2;kutya;Francia bulldog;kutyakepek/183.jpg;Enim consequat lorem do exercitation est laboris elit. Duis proident fugiat eu sed lorem.;Occaecat incididunt commodo reprehenderit. Irure nulla duis ipsum sunt laboris officia. Nisi ipsum eu consequat eiusmod ad amet.;neFXrTJnU@hOcYj.com;+36501579555;0;8
2;Szetti;2020-1-2 15:43:41;1;0;1;1;szuka;6;1;3;egér;Saint-germaini vizsla;kutyakepek/374.jpg;Esse dolor ullamco pariatur eiusmod voluptate. Sed irure quis veniam.;Est enim sunt veniam irure sed, proident sit consequat tempor proident. Et dolor cupidatat nulla cupidatat do exercitation ea sint, reprehenderit velit magna laboris minim adipiscing anim excepteur consequat dolore. Duis commodo est esse.;QqiMdue6oP@VIWeLLr.com;+36607038811;0;7
3;Fló;2023-4-3 8:9:59;1;0;1;0;szuka;1;7;2;egér;Sarplaninai juhászkutya;kutyakepek/421.jpg;Cillum lorem aliquip laboris tempor irure consequat. Quis velit duis ex velit elit.;Lorem ipsum fugiat ullamco reprehenderit minim tempor reprehenderit dolore, deserunt eiusmod id eu cupidatat velit duis labore irure. Excepteur laboris sed aliqua, cillum incididunt lorem deserunt occaecat laborum ex ea consequat esse. Culpa excepteur ad est voluptate.;N8cLBd@msn5r.com;+36603162390;0;7
4;Morti;2023-9-7 21:16:2;1;0;0;1;kan;5;3;3;papagáj;Törpe schnauzer;kutyakepek/467.jpg;Eiusmod sed qui id. Ea non eu amet.;Labore nisi irure nulla. Aliqua duis pariatur et voluptate. Ipsum ut pariatur minim enim quis aliquip esse ullamco veniam.;H6OxlF0Yi@KJyM.com;+36602123575;0;7
5;Rea;2022-3-8 12:37:51;1;0;0;1;kan;11;19;2;hörcsög;Longdog;kutyakepek/116.jpg;Et nulla deserunt adipiscing culpa eiusmod exercitation eu voluptate cupidatat, sunt est amet commodo lorem nostrud sit dolore laborum, reprehenderit quis et sed qui velit amet. Consequat dolor sint ut aliqua ad, non aliquip laborum ex sint consectetur culpa nisi.;Consequat esse esse laborum cillum, anim laborum exercitation tempor do. Reprehenderit nulla tempor pariatur. Excepteur in elit eu, magna labore ut non.;bx82QDSq@oYynX.com;+36606966084;0;8
6;Jupiter;2021-8-27 4:25:50;0;0;1;0;kan;4;50;1;papagáj;Ausztrál selyemszőrű terrier;kutyakepek/195.jpg;Duis aute qui cupidatat. Sunt cupidatat ea labore voluptate, in deserunt exercitation quis esse ea consectetur et officia magna.;Sint proident ex minim fugiat lorem. Exercitation voluptate elit incididunt sit exercitation cupidatat voluptate amet eiusmod. Ad commodo esse do velit nisi minim, sed excepteur sit enim.;cU1JOhre@l93zU.com;+36609183865;0;8
7;Zorró;2023-2-13 4:23:35;0;0;0;1;kan;6;43;1;egér;Brabançon;kutyakepek/38.jpg;Amet dolor anim culpa labore, nisi sint nulla deserunt reprehenderit aute ullamco dolore. Laborum voluptate magna enim sed pariatur deserunt fugiat minim mollit.;Cillum non commodo est. Sunt fugiat enim officia occaecat reprehenderit aliqua, do fugiat nostrud in. Labore sed eu consequat quis cillum cupidatat officia voluptate.;NSnxq@HtIk.com;+36404662777;0;8
8;Zsozsó;2022-12-8 14:24:27;1;0;1;1;kan;19;43;2;egér;Golden retriever;kutyakepek/350.jpg;Ex minim enim officia cillum lorem. In sint nostrud qui incididunt aliqua et fugiat excepteur.;Exercitation ullamco in veniam sed tempor. Qui ad dolore officia deserunt sit est cillum lorem. Voluptate aliqua enim ipsum laborum nostrud proident consequat.;Ism@8FRD8Z.com;+36502421898;0;8
9;Fáraó;2023-4-1 17:26:37;0;0;1;1;kan;2;43;4;macska;Trikolor francia kopó;kutyakepek/496.jpg;Culpa laboris adipiscing exercitation esse lorem. Anim ullamco est voluptate mollit consectetur incididunt proident anim tempor.;Sed officia consequat sit ad officia ut, occaecat velit non nostrud. Cillum quis amet irure sint in. Nisi consectetur adipiscing laboris sit qui, ex do excepteur dolor, irure do sit duis aute commodo.;NOeqt4UoG@B2gJoj.com;+364056105;0;7
10;Nevada;2021-2-27 6:45:29;0;0;1;0;kan;2;46;2;papagáj;Szamojéd;kutyakepek/420.jpg;Proident proident pariatur labore nulla incididunt id nostrud in sed, irure officia cillum do cupidatat nulla consequat amet, occaecat consectetur est veniam mollit. Ad cupidatat veniam duis ad sit ut dolore anim.;Eiusmod culpa excepteur elit commodo. Lorem dolor do quis anim non nulla cupidatat nisi. Eu duis consectetur non.;RiMBF7@AzH0.com;+36403448947;0;7
