1,Gringó,2022-4-4,0,0,0,0,szuka,8,22,4,Catahoulai leopárdkutya,http://localhost/kutyakepek/386.jpg,,,,placeholder,+36302344708
2,Lilla,2022-8-25,1,1,0,1,kan,13,10,4,Nagy angol-francia kopó,http://localhost/kutyakepek/543.jpg,,,,placeholder,+36508194362
3,Frida,2023-9-8,0,0,1,1,kan,4,17,4,Longdog,http://localhost/kutyakepek/190.jpg,,,,placeholder,+36501095472
4,Behemót,2021-9-26,1,0,1,1,szuka,17,10,4,Berni kopó,http://localhost/kutyakepek/434.jpg,,,,placeholder,+36607602269
5,Behemót,2021-3-22,0,1,0,0,kan,10,14,4,Norvég buhund,http://localhost/kutyakepek/460.jpg,,,,placeholder,+36409572072
6,Dolfi,2021-9-3,0,0,0,0,szuka,17,24,1,Belga masztiff,http://localhost/kutyakepek/220.jpg,,,,placeholder,+3630979918
7,Zola,2021-9-1,0,0,1,1,szuka,12,3,1,Hosszúszőrű skót juhászkutya,http://localhost/kutyakepek/198.jpg,,,,placeholder,+36504705223
8,Suhanc,2022-8-27,0,0,0,1,kan,20,18,3,Siba inu,http://localhost/kutyakepek/483.jpg,,,,placeholder,+364041218
9,Vadóc,2022-7-4,1,0,1,1,szuka,14,13,1,Ariége-i vizsla,http://localhost/kutyakepek/534.jpg,,,,placeholder,+36406213173
10,Ollé,2021-3-15,0,0,1,0,kan,4,22,1,Berni kopó,http://localhost/kutyakepek/52.jpg,,,,placeholder,+36302242516
11,Sakál,2021-1-9,0,0,1,1,kan,17,26,3,Afrikai oroszlánkutya,http://localhost/kutyakepek/536.jpg,,,,placeholder,+36509968959
12,Luigi,2020-9-27,0,1,1,0,szuka,27,28,2,Angol rókakopó,http://localhost/kutyakepek/172.jpg,,,,placeholder,+3630832416
13,Kaarjack,2021-2-12,0,0,0,1,szuka,9,2,4,Karéliai medvekutya,http://localhost/kutyakepek/107.jpg,,,,placeholder,+36405049498
14,Adonisz,2022-2-19,0,0,1,1,kan,19,24,1,Cirneco dell’Etna,http://localhost/kutyakepek/133.jpg,,,,placeholder,+36306014551
15,Lolka,2023-5-17,1,0,0,1,kan,17,20,2,Német juhászkutya,http://localhost/kutyakepek/77.jpg,,,,placeholder,+36403975373
16,Lehár,2021-7-18,1,1,1,1,kan,16,19,1,Olasz kopó,http://localhost/kutyakepek/0.jpg,,,,placeholder,+36404346808
17,Boomer,2020-1-12,1,1,0,0,szuka,8,26,1,Brüsszeli griffon,http://localhost/kutyakepek/306.jpg,,,,placeholder,+365096124
18,Gopher,2022-7-28,1,1,0,1,szuka,9,24,1,Ausztrál csonkafarkú pásztorkutya,http://localhost/kutyakepek/153.jpg,,,,placeholder,+36301499568
19,Oblix,2022-2-20,0,1,1,1,kan,1,25,3,Ausztrál csonkafarkú pásztorkutya,http://localhost/kutyakepek/155.jpg,,,,placeholder,+36504713838
20,Lassie,2020-12-13,0,0,0,0,szuka,28,15,2,Saarloosi farkaskutya,http://localhost/kutyakepek/403.jpg,,,,placeholder,+36309926983
21,Sakál,2021-2-8,0,1,1,0,szuka,1,16,3,Spanyol masztiff,http://localhost/kutyakepek/138.jpg,,,,placeholder,+36404771856
22,Zola,2022-9-8,0,1,1,0,kan,15,4,1,Tervueren (Belga juhászkutya),http://localhost/kutyakepek/170.jpg,,,,placeholder,+36307779212
23,Pandúr,2022-10-24,0,1,1,0,szuka,28,6,3,Manchester terrier,http://localhost/kutyakepek/470.jpg,,,,placeholder,+36406465510
24,Bugatti,2021-11-21,0,1,1,1,szuka,17,16,3,Bukovinai pásztorkutya,http://localhost/kutyakepek/376.jpg,,,,placeholder,+36302518687
25,Rómeó,2021-5-27,1,0,1,0,szuka,4,24,1,Közép uszkár,http://localhost/kutyakepek/521.jpg,,,,placeholder,+36509213128
26,Szultán,2020-6-20,1,0,0,0,szuka,27,2,2,Thai ridgeback,http://localhost/kutyakepek/480.jpg,,,,placeholder,+36604982033
27,Vanília,2023-8-14,1,0,0,0,szuka,14,22,2,Ír szetter,http://localhost/kutyakepek/19.jpg,,,,placeholder,+36402179419
28,Jonathan,2020-11-1,0,1,1,1,szuka,23,1,3,Thai ridgeback,http://localhost/kutyakepek/49.jpg,,,,placeholder,+36606122641
29,Axel,2020-8-18,1,0,0,0,szuka,2,16,2,Rajapalayam,http://localhost/kutyakepek/537.jpg,,,,placeholder,+36603956879
30,Gróf,2021-10-4,0,1,1,1,szuka,22,26,4,Francia kopó,http://localhost/kutyakepek/366.jpg,,,,placeholder,+36307961653
31,Lasszó,2022-1-24,0,0,0,1,szuka,29,21,3,Field spániel,http://localhost/kutyakepek/455.jpg,,,,placeholder,+36603827424
32,Lassie,2023-12-12,1,1,1,0,szuka,14,19,4,Nagy münsterlandi vizsla,http://localhost/kutyakepek/29.jpg,,,,placeholder,+36605171820
33,Ládikó,2022-7-15,1,1,1,0,szuka,15,25,1,Finn spicc,http://localhost/kutyakepek/346.jpg,,,,placeholder,+3650214395
34,Kenny,2022-12-15,1,1,0,0,szuka,9,24,2,Montenegrói hegyikopó,http://localhost/kutyakepek/509.jpg,,,,placeholder,+36606463699
35,Ballu,2021-2-1,1,0,0,0,kan,12,2,4,Estrelai hegyikutya,http://localhost/kutyakepek/414.jpg,,,,placeholder,+36305962634
36,Csülök,2020-8-6,0,0,0,1,kan,5,14,2,Eurázsiai,http://localhost/kutyakepek/501.jpg,,,,placeholder,+36602029672
37,Pongó,2020-12-5,0,1,0,0,kan,2,26,4,Bretagne-i cserszínű basset,http://localhost/kutyakepek/33.jpg,,,,placeholder,+36605963671
38,Iván,2021-11-7,1,1,1,0,szuka,8,27,2,Kis angol-francia rókakopó,http://localhost/kutyakepek/40.jpg,,,,placeholder,+36501168933
39,Gringó,2021-5-17,0,0,1,1,szuka,1,24,1,Mexikói meztelen kutya,http://localhost/kutyakepek/87.jpg,,,,placeholder,+3640757140
